match_id,victor_team,radiant_team,dire_team
5441597693,Dire,121-40-45-21-8,17-70-7-66-53
5427189903,Dire,129-23-9-128-12,53-121-67-126-19
5441495522,Radiant,58-29-39-88-67,100-40-106-86-49
5429039440,Radiant,44-74-104-66-27,119-46-5-99-53
5393392461,Dire,51-106-121-110-12,10-79-126-86-102
5393446408,Radiant,106-83-80-40-86,13-121-126-54-28
5432733259,Dire,98-10-53-27-70,84-68-22-29-114
5403471923,Dire,44-108-107-49-53,27-120-86-39-77
5394637040,Dire,26-2-110-74-32,84-71-67-16-56
5403421899,Radiant,53-2-121-22-45,72-64-120-88-15
5403365854,Radiant,83-46-88-119-70,40-25-27-121-53
5425112142,Radiant,90-73-51-104-39,53-32-2-121-79
5412264966,Dire,10-32-88-129-79,121-16-106-126-51
5405075457,Dire,98-46-58-7-95,106-47-38-101-121
5434221790,Dire,45-17-121-7-32,95-25-38-3-51
5427380502,Dire,95-114-3-17-129,126-1-64-25-71
5440992734,Radiant,64-81-35-104-106,70-17-3-53-86
5446293220,Dire,11-3-65-83-93,30-106-121-67-129
5432265943,Radiant,60-8-27-79-49,45-10-9-31-2
5434578585,Dire,74-14-52-88-53,9-79-54-129-17
5411945283,Radiant,121-99-126-100-1,106-36-41-64-31
5422651019,Radiant,9-7-17-66-54,53-25-45-121-38
5415789978,Radiant,111-100-43-104-72,74-66-126-7-10
5437235502,Radiant,79-10-23-33-110,63-49-84-90-45
5428924285,Radiant,2-12-87-75-56,98-72-39-31-126
5406051532,Radiant,90-15-43-49-129,36-31-53-106-120
5430994532,Dire,30-110-107-39-8,52-86-84-109-38
5412390435,Radiant,129-110-41-36-86,106-39-33-99-7
5439580008,Dire,9-95-110-33-19,106-51-90-49-43
5434923969,Dire,86-98-11-67-79,30-39-121-12-96
5436687468,Dire,63-126-89-7-40,4-110-11-51-65
5420565023,Dire,30-39-126-119-8,111-4-56-86-129
5446208005,Radiant,121-31-59-32-129,95-21-51-30-111
5401838424,Radiant,41-66-28-39-48,38-9-106-25-90
5443252052,Dire,68-126-121-29-93,10-7-111-70-104
5436781482,Radiant,111-49-47-120-33,46-106-108-79-51
5425702438,Radiant,120-80-64-126-25,32-17-96-66-52
5403621019,Dire,56-103-95-71-17,39-104-70-5-101
5422614087,Dire,101-76-104-31-42,41-29-106-86-111
5443885511,Dire,48-46-86-38-84,52-79-58-74-53
5443809298,Radiant,114-10-53-111-88,90-106-98-86-32
5408315699,Radiant,114-100-39-111-38,58-13-86-129-109
5426469732,Dire,53-7-68-120-95,49-30-19-129-121
5414487235,Radiant,114-107-31-38-5,90-2-106-95-86
5403264689,Dire,70-53-99-51-111,15-12-31-96-121
5399785021,Dire,45-74-84-38-95,78-11-79-40-50
5441815289,Dire,53-84-79-129-39,17-128-23-9-32
5407593308,Radiant,2-14-93-46-128,37-12-43-75-104
5446976415,Radiant,63-49-10-88-64,65-54-71-35-68
5425895371,Dire,128-13-8-92-120,121-15-4-110-129
5422496111,Radiant,11-12-101-121-104,106-86-32-51-83
5405548564,Dire,10-106-31-100-45,121-43-8-38-17
5404642337,Dire,96-4-79-87-54,39-100-44-25-108
5418051844,Dire,126-36-32-51-121,80-106-31-86-71
5412630303,Radiant,121-109-120-106-40,67-58-126-22-2
5430425047,Radiant,3-95-43-51-74,39-40-120-121-8
5414055240,Radiant,45-39-106-74-7,83-68-129-23-114
5425813431,Radiant,86-97-96-15-46,90-43-106-14-101
5421668939,Radiant,90-106-43-110-26,109-108-21-126-3
5439766071,Dire,93-88-49-3-129,106-120-56-11-64
5406191139,Dire,2-126-54-62-121,13-107-68-49-36
5445924957,Dire,60-63-51-40-17,26-93-65-49-100
5422580788,Dire,106-46-96-90-100,3-114-39-129-101
5425797935,Radiant,111-35-54-104-114,109-106-69-90-19
5443552159,Dire,2-42-106-110-90,98-8-13-128-100
5409248624,Dire,32-53-3-65-100,109-120-121-13-79
5446206914,Radiant,54-106-78-121-31,110-108-112-39-15
5417227245,Dire,7-10-3-36-120,106-114-38-121-119
5439665169,Dire,128-104-70-6-20,21-121-44-126-119
5400247126,Radiant,114-64-38-71-17,95-98-106-87-9
5435865786,Dire,13-106-114-110-104,68-39-54-7-96
5401510067,Dire,106-9-41-85-53,12-17-104-58-107
5424080863,Radiant,84-74-86-65-53,48-52-50-83-120
5405200776,Dire,31-41-43-120-88,32-35-51-106-90
5417807828,Dire,17-19-104-93-31,11-98-4-83-84
5423831166,Radiant,90-13-95-110-2,17-19-121-51-32
5422588279,Dire,39-103-41-96-86,106-11-42-30-128
5414561064,Dire,82-106-35-16-121,129-39-31-51-10
5415084797,Radiant,1-110-2-87-126,54-19-27-128-6
5394122457,Dire,104-87-54-17-101,106-15-51-7-30
5412210307,Radiant,114-66-65-86-56,64-63-106-120-89
5426445833,Radiant,20-106-4-129-110,121-8-47-45-120
5410923531,Radiant,74-31-104-100-8,39-65-86-84-53
5396231804,Dire,86-121-8-129-108,28-35-32-83-106
5436677907,Dire,112-39-2-44-110,126-51-3-38-72
5425646046,Radiant,3-70-51-114-56,46-96-79-86-77
5418227202,Radiant,32-39-96-121-63,110-95-49-120-65
5398155166,Dire,86-25-109-120-31,66-43-6-107-83
5407702097,Dire,119-120-43-62-10,22-100-121-95-63
5407556561,Dire,46-16-45-106-53,37-35-129-7-10
5399053487,Radiant,3-67-86-96-53,56-30-33-46-16
5405659428,Dire,3-1-63-100-39,41-110-121-126-53
5400372357,Dire,12-43-98-30-79,10-96-64-106-71
5400568305,Radiant,111-41-52-38-79,20-45-120-119-10
