match_id,victor_team,radiant_team,dire_team
5236704322,Dire,104-21-58-93-121,111-54-16-65-59
5236347314,Dire,26-128-4-13-28,58-7-74-72-98
5242116068,Dire,109-87-69-19-38,13-46-88-31-56
5261904445,Dire,90-17-54-104-100,119-63-49-5-28
5235610042,Radiant,86-10-85-25-28,31-87-76-54-51
5228564144,Radiant,58-89-106-87-111,128-69-44-17-121
5265749200,Dire,66-41-55-19-71,68-69-13-129-95
5235342895,Radiant,43-28-88-54-68,120-3-44-128-29
5248603687,Dire,95-68-40-49-7,58-17-54-51-28
5268640581,Dire,114-11-27-28-110,103-25-13-94-104
5240942970,Radiant,12-98-65-51-15,87-10-46-58-104
5231129443,Dire,98-76-1-84-121,126-36-54-83-90
5234956029,Radiant,88-89-126-112-45,114-31-106-19-129
5249594048,Dire,76-31-87-78-4,94-100-112-22-129
5231716783,Dire,41-31-11-57-86,121-93-46-69-100
5268643784,Radiant,67-11-51-112-87,68-106-41-36-86
5231235627,Radiant,119-12-96-126-64,6-86-20-14-106
5234830510,Dire,105-54-87-45-108,28-43-65-86-70
5242612774,Radiant,128-65-18-98-88,106-28-66-86-46
5234593235,Radiant,21-65-126-15-3,104-54-25-87-119
5240689673,Dire,12-87-97-88-65,126-54-20-69-13
5242902612,Radiant,65-38-126-112-10,57-106-95-86-111
5230807461,Dire,19-46-63-96-31,51-54-15-13-75
5243262414,Dire,106-28-121-84-23,89-87-96-65-119
5267263556,Radiant,10-59-104-51-68,76-112-120-86-106
5251863900,Radiant,15-107-59-57-111,83-112-34-102-95
5236772586,Radiant,107-38-126-68-54,8-11-96-88-111
5264114418,Radiant,68-10-120-86-104,67-106-51-128-121
5240518570,Dire,111-95-104-43-87,57-23-19-31-93
5243573810,Dire,54-20-72-120-53,93-49-100-96-66
5251687290,Radiant,11-128-7-95-98,28-58-17-93-101
5236700053,Dire,13-86-87-60-89,52-4-28-111-107
5235375935,Radiant,87-43-7-93-98,121-97-96-128-76
5251345716,Dire,57-13-32-86-31,126-128-10-23-83
5269609748,Radiant,121-41-46-86-28,11-129-54-119-128
5231451687,Radiant,87-19-11-57-95,31-51-6-97-28
5231478346,Dire,28-44-79-83-13,4-77-104-86-58
5245755340,Radiant,114-46-13-120-31,111-10-28-84-121
5243667534,Radiant,94-36-68-7-65,31-87-89-104-126
5231530349,Radiant,64-23-104-128-72,98-20-108-114-84
5269877495,Dire,41-76-126-86-53,4-59-38-111-88
5224151697,Radiant,120-13-26-86-12,4-42-31-121-126
5266510882,Radiant,5-52-28-54-86,50-38-95-31-20
5236528039,Radiant,128-46-13-95-88,86-126-114-12-7
5264898989,Dire,46-66-104-101-106,36-10-41-7-31
5268337654,Dire,46-86-8-58-104,88-4-98-52-31
5253172885,Dire,13-120-95-46-20,31-45-32-7-28
5234887411,Radiant,10-104-51-70-31,45-54-82-86-87
5260456205,Dire,74-98-87-25-54,31-70-104-19-47
5253078246,Dire,51-32-58-101-39,65-22-100-15-55
5241851821,Dire,1-103-69-126-121,41-114-51-128-68
5259230151,Dire,93-23-57-68-86,66-52-32-112-96
5230731960,Dire,88-72-93-13-121,41-23-28-128-86
5254924654,Radiant,53-54-107-39-38,91-126-63-90-28
5254292047,Radiant,38-86-58-46-54,8-45-31-129-13
5236022206,Dire,128-76-10-88-96,129-59-87-111-95
5248256137,Dire,58-93-61-129-88,128-7-28-80-50
5232758137,Dire,87-12-46-86-38,119-54-129-11-112
5248267578,Radiant,104-106-31-100-95,65-87-19-114-10
5240505443,Radiant,31-10-41-19-120,119-112-94-106-102
5236018276,Dire,106-77-96-111-86,53-10-79-16-126
5241312615,Dire,19-58-54-34-110,59-108-31-81-13
5240399581,Dire,31-129-18-97-19,92-51-108-126-58
5231298477,Dire,100-95-31-96-46,54-104-86-3-65
5257333261,Radiant,128-69-54-13-106,85-96-95-52-86
5236951680,Dire,31-80-112-12-51,38-88-86-4-39
5231420643,Dire,7-21-74-27-36,58-18-55-120-126
5240372287,Dire,6-111-28-110-17,76-113-31-112-51
5255293204,Dire,111-32-95-51-104,54-108-90-28-19
5235557133,Dire,111-39-7-95-28,76-51-72-79-58
5250853449,Dire,111-95-59-26-98,53-25-79-126-54
5232752389,Radiant,58-47-28-119-1,93-69-17-31-112
5228647954,Dire,78-112-12-47-100,107-58-13-95-91
5250956482,Dire,41-38-128-90-22,83-87-11-12-28
5270098123,Dire,98-25-8-87-51,121-46-16-31-114
5231260734,Dire,93-88-69-46-87,54-31-129-76-25
5267954575,Dire,7-128-4-126-38,94-86-106-103-129
5262798362,Radiant,54-68-59-88-13,128-102-80-41-86
5267267194,Radiant,121-11-86-8-129,43-12-128-104-111
5235153803,Dire,64-25-28-86-54,18-17-120-107-112
5268478009,Radiant,58-93-108-86-65,106-4-98-31-107
5240004828,Dire,11-27-32-112-108,12-17-96-19-31
5231692776,Dire,104-54-43-87-26,36-103-31-77-19
5240711257,Dire,31-12-126-28-25,111-45-95-98-51
5231324609,Dire,91-12-85-79-57,65-97-106-69-98
5241955797,Dire,68-75-58-10-28,3-11-23-112-95
5235116902,Radiant,58-86-25-104-1,87-52-4-65-102
5254034493,Radiant,66-26-82-120-114,1-98-58-25-103
5242589506,Radiant,11-31-41-128-129,54-28-97-111-100
5249029414,Dire,57-112-113-15-13,95-107-111-55-76
