match_id,victor_team,radiant_team,dire_team
5252287668,Dire,31-70-106-88-55,68-23-32-86-28
5230739657,Dire,101-12-36-129-112,31-52-80-104-51
5252572342,Dire,41-106-2-101-31,38-58-46-32-111
5258198051,Dire,13-23-111-94-28,86-38-76-65-67
5240800097,Dire,66-42-52-88-57,121-47-4-38-86
5235149573,Radiant,66-120-7-42-17,97-58-87-51-41
5239278114,Radiant,83-96-25-10-86,11-31-13-52-57
5229569169,Dire,101-72-74-91-104,54-31-28-107-22
5240934129,Dire,87-17-51-95-108,38-32-76-111-7
5244130963,Radiant,129-58-86-10-23,104-128-95-27-46
5248533430,Radiant,57-100-46-86-15,1-39-98-31-19
5255105578,Dire,72-104-101-23-91,41-76-96-5-86
5236880310,Dire,31-38-12-65-46,88-104-120-128-4
5241131443,Dire,19-36-93-5-87,126-110-54-129-31
5239321890,Dire,12-87-39-51-28,20-128-52-72-57
5258248170,Radiant,59-31-54-105-96,61-7-13-67-53
5239498092,Radiant,111-126-13-93-57,121-73-38-65-25
5231216752,Dire,120-21-108-91-119,114-93-128-83-100
5259134674,Dire,72-28-19-91-106,88-15-13-31-98
5242473896,Radiant,8-69-31-97-100,11-42-20-104-51
5236109039,Dire,10-80-65-111-107,57-12-88-58-106
5234851784,Dire,91-97-13-129-54,111-95-128-62-126
5236588068,Radiant,68-128-23-41-129,111-126-95-7-40
5230216075,Dire,80-53-19-38-54,126-97-65-10-28
5233007147,Radiant,87-93-13-88-40,128-11-65-54-51
5232272304,Dire,51-12-28-11-31,58-52-54-19-97
5245568691,Radiant,67-52-53-87-107,89-36-29-58-7
5240379129,Radiant,57-93-31-19-56,104-75-111-13-59
5244716168,Radiant,38-106-126-103-91,120-67-68-96-128
5233348371,Dire,68-97-54-110-28,90-46-89-96-19
5269051453,Dire,66-59-100-6-120,13-94-104-25-20
5265046444,Dire,25-8-83-15-104,65-19-97-32-85
5244527639,Radiant,10-128-69-58-28,91-71-82-72-55
5250423862,Dire,87-23-19-54-29,68-120-95-7-65
5233443368,Dire,79-12-13-65-69,4-86-97-87-96
5231784508,Radiant,46-31-54-87-102,40-128-84-74-10
5254026071,Radiant,93-59-129-7-68,28-76-86-111-32
5250890970,Radiant,23-104-88-112-12,87-129-128-98-8
5232920609,Radiant,20-46-128-38-93,87-60-54-114-83
5231315893,Dire,10-106-102-121-31,4-68-28-25-91
5258987580,Radiant,64-104-43-93-27,95-57-19-31-11
5232967092,Radiant,112-129-54-119-28,126-60-61-87-7
5233434490,Dire,121-4-78-46-88,83-59-93-91-16
5264555425,Dire,84-126-91-93-52,121-15-41-51-129
5269597167,Radiant,4-45-66-51-59,95-114-110-101-30
5250149658,Radiant,57-17-58-27-4,13-31-72-98-106
5251405427,Dire,31-128-12-25-104,107-66-4-114-120
5234368946,Dire,31-10-78-65-38,111-88-23-28-109
5263666353,Radiant,19-46-13-98-37,11-103-126-7-10
5231773838,Radiant,112-74-4-19-57,119-69-106-129-58
5265487109,Radiant,65-82-108-31-93,121-59-12-88-104
5269112249,Dire,10-52-104-128-120,89-23-102-51-86
5248676993,Dire,96-93-86-126-66,4-90-36-71-46
5262534514,Radiant,112-88-15-1-38,72-91-39-86-29
5235413152,Radiant,58-17-88-106-38,33-89-129-128-11
5236520309,Dire,90-13-114-76-19,43-129-87-8-7
5225797508,Dire,86-52-96-103-53,64-32-58-46-69
5261533696,Dire,86-19-106-93-31,43-13-54-27-112
5269719681,Radiant,53-77-111-10-52,87-58-8-43-102
5231455308,Radiant,64-63-11-128-108,40-76-12-19-87
5236676730,Dire,121-15-8-120-65,128-93-88-57-106
5231431454,Dire,46-28-68-87-54,102-95-126-19-58
5225925085,Dire,94-69-17-112-87,20-11-91-106-28
5242360468,Radiant,17-110-102-129-18,12-106-128-104-13
5237983246,Dire,87-54-15-86-98,111-4-88-55-95
5238604784,Dire,31-102-97-86-106,68-126-7-129-54
5238804671,Dire,31-120-106-25-19,13-74-51-79-12
5258173239,Radiant,98-2-126-101-65,114-8-31-7-99
5239092204,Radiant,104-86-72-59-91,126-121-129-46-65
5231410994,Radiant,128-65-45-114-129,63-104-86-22-31
5231351198,Dire,93-87-97-58-88,28-54-46-50-112
5242022879,Radiant,111-15-129-54-110,75-46-96-112-8
5241220641,Radiant,84-93-126-74-128,21-60-112-75-44
5239282548,Radiant,58-74-121-19-41,15-31-13-17-51
5239294059,Radiant,95-86-23-16-111,53-112-93-108-17
