,match_id,victor_team,radiant_team,dire_team
100,4926736019,Dire,84-44-21-60-30,8-37-69-106-62
101,4932559456,Dire,38-71-76-86-72,111-43-93-96-119
102,4929116411,Radiant,25-53-86-28-70,57-26-45-7-8
103,4887717668,Radiant,112-106-75-19-10,54-111-23-57-33
104,4934082164,Dire,100-42-121-74-110,84-106-61-50-102
105,4916220683,Dire,106-86-2-95-37,39-111-70-84-25
106,4923341928,Dire,90-49-119-129-42,82-104-18-79-75
107,4911741009,Dire,95-107-68-98-54,53-121-34-42-62
108,4912137370,Radiant,59-121-54-26-19,114-111-44-108-7
109,4901289902,Radiant,52-93-97-16-102,28-54-86-65-68
110,4931709617,Dire,111-52-7-8-65,93-106-3-21-57
111,4898963307,Dire,95-55-121-107-76,18-15-57-86-68
112,4929265284,Dire,43-8-26-38-102,41-92-68-16-7
113,4918170496,Radiant,121-8-29-100-89,33-70-21-111-2
114,4915770106,Radiant,10-86-55-19-66,26-57-106-70-16
115,4917816501,Dire,106-95-108-120-103,33-89-64-29-43
116,4916047854,Radiant,95-79-71-108-43,18-25-121-33-96
117,4891718348,Radiant,66-16-86-76-70,111-18-120-43-32
118,4934207524,Dire,119-10-42-2-68,20-34-72-91-129
119,4910488022,Radiant,86-95-16-121-17,7-10-57-23-129
120,4922216957,Dire,51-57-27-52-10,17-7-93-50-3
121,4908267022,Radiant,37-52-71-106-1,25-129-43-42-121
122,4900671421,Radiant,37-67-25-88-76,57-93-16-110-43
123,4921946903,Dire,129-39-42-27-121,7-76-79-16-89
124,4926608928,Dire,52-83-7-50-121,46-90-84-64-106
125,4925317287,Radiant,111-59-93-129-119,89-87-4-57-86
126,4938645327,Dire,98-58-85-6-78,16-79-61-121-8
127,4921209771,Dire,79-49-4-129-101,66-25-96-121-89
128,4898874248,Radiant,85-106-65-10-19,16-52-33-42-5
129,4912311025,Radiant,106-54-88-52-64,68-16-89-26-114
130,4912383807,Dire,37-25-121-44-16,42-17-71-75-110
131,4898378888,Dire,3-7-76-129-106,26-17-42-96-68
132,4898142287,Radiant,89-57-17-96-27,68-36-8-79-33
133,4898079807,Dire,94-66-71-120-106,68-73-18-7-60
134,4930579307,Radiant,97-16-79-106-95,17-68-29-42-27
135,4913700434,Dire,114-5-120-40-86,121-18-96-101-76
136,4910376392,Radiant,21-96-8-71-121,2-18-30-37-106
137,4892763044,Dire,37-39-8-97-96,79-112-104-43-42
138,4900361701,Radiant,121-27-43-65-42,30-85-104-96-113
139,4904494803,Dire,42-65-120-86-3,96-89-23-119-37
140,4910595601,Radiant,121-21-22-18-120,73-86-8-27-33
141,4911621842,Dire,48-96-121-79-43,52-23-71-86-54
142,4897880263,Dire,5-53-21-89-51,13-8-69-71-121
143,4905396939,Dire,23-8-31-45-65,68-28-52-76-12
144,4887582422,Dire,10-9-102-65-75,37-95-76-78-33
145,4911714373,Radiant,96-66-23-42-25,7-53-19-106-63
146,4935735517,Radiant,53-99-7-8-37,25-64-84-72-77
147,4885083399,Radiant,112-70-86-96-106,82-38-15-27-83
148,4899824721,Dire,121-96-95-119-43,66-71-55-94-54
149,4905014363,Dire,15-62-54-30-33,72-23-38-20-91
150,4889341660,Dire,111-18-43-79-2,85-57-76-27-95
151,4936192225,Radiant,111-19-76-5-67,81-21-27-49-37
152,4911921745,Radiant,28-7-10-34-102,76-27-37-129-70
153,4904811766,Radiant,96-40-37-113-25,27-7-23-10-83
154,4911973212,Radiant,42-40-79-68-106,18-57-17-111-27
155,4896322388,Radiant,55-88-111-81-39,69-120-18-79-71
156,4889635707,Radiant,68-129-39-119-42,71-21-29-91-72
157,4889770499,Dire,70-76-129-83-37,96-25-114-52-57
158,4893390956,Radiant,3-38-91-76-8,75-121-96-18-35
159,4899105947,Radiant,111-40-42-96-86,18-99-68-52-23
160,4931998437,Radiant,121-106-119-38-81,3-75-96-7-10
161,4932477993,Dire,13-121-39-97-8,111-43-18-28-119
162,4927244137,Radiant,79-101-57-43-42,96-25-85-8-27
163,4885297578,Radiant,74-37-54-60-33,17-70-14-110-111
164,4901024942,Radiant,39-68-96-42-86,71-121-38-17-8
165,4920727501,Dire,4-23-107-53-37,54-98-13-71-79
166,4940735587,Dire,106-87-129-13-71,76-110-8-14-86
167,4920057592,Radiant,129-74-41-52-5,21-60-1-119-85
168,4920038399,Radiant,33-30-129-13-18,68-39-65-81-86
169,4928204564,Dire,79-91-13-16-72,54-30-96-86-17
170,4918260393,Dire,37-67-29-51-15,76-48-14-84-121
171,4940876606,Dire,27-47-42-79-114,120-12-2-37-21
172,4940167107,Dire,16-121-23-68-8,21-42-37-19-43
173,4888859291,Dire,91-69-121-72-23,97-79-96-76-95
174,4928541054,Radiant,93-86-75-38-17,33-89-5-70-19
175,4917211961,Radiant,31-30-76-96-72,71-21-53-68-41
176,4916623923,Radiant,79-88-19-89-25,18-71-68-74-60
177,4890254708,Dire,75-41-96-15-79,57-129-39-33-93
178,4929014248,Dire,52-104-42-86-121,33-17-38-31-114
179,4916502120,Dire,93-19-7-23-68,8-3-42-106-25
180,4903051772,Radiant,121-15-96-10-27,30-26-39-29-93
181,4927031121,Radiant,120-72-51-91-39,114-36-21-37-7
182,4916009430,Radiant,16-25-83-9-89,43-52-111-121-42
183,4915968470,Dire,109-106-27-38-37,89-52-96-119-111
184,4929387278,Dire,74-100-86-70-44,8-79-121-23-69
185,4915743835,Radiant,23-47-8-21-112,93-66-52-96-100
186,4926209708,Radiant,23-93-57-31-33,37-86-2-52-10
187,4903679968,Radiant,3-49-119-96-63,9-42-23-19-68
188,4913991626,Dire,18-82-65-15-120,53-27-8-39-79
189,4924711827,Dire,16-44-17-121-57,86-79-106-18-98
190,4926130137,Dire,51-17-33-66-42,37-71-73-52-23
191,4908214941,Radiant,42-17-96-86-68,18-106-69-9-3
192,4894168276,Dire,37-17-8-33-104,55-74-72-71-91
193,4903974414,Dire,71-106-94-86-69,18-57-50-38-27
194,4936852874,Dire,52-55-10-62-87,5-63-18-19-25
195,4879841874,Dire,111-97-42-16-25,83-52-38-76-79
196,4897289984,Radiant,55-18-71-74-3,27-25-96-63-87
197,4927124551,Radiant,68-42-6-46-51,96-100-21-62-1
198,4897949339,Dire,8-39-71-25-120,79-129-42-119-94
199,4898118360,Radiant,79-94-38-106-110,70-76-121-104-107
200,4878201262,Radiant,91-39-87-48-16,57-121-1-30-17
201,4908375256,Radiant,27-25-85-57-93,18-69-45-121-31
202,4908281557,Dire,1-15-5-96-120,95-52-98-71-111
203,4930516055,Radiant,107-121-23-69-61,85-76-42-119-51
204,4896878842,Radiant,45-88-10-43-86,27-57-89-76-60
205,4908480118,Dire,111-55-107-4-106,95-50-108-20-66
206,4885116383,Dire,91-44-46-28-37,69-5-95-100-77
207,4921310802,Radiant,100-75-104-91-72,20-61-106-38-51
208,4901403209,Radiant,10-110-96-42-86,95-39-57-71-121
209,4891028474,Dire,121-15-55-54-71,79-66-16-43-89
210,4923287820,Radiant,76-110-16-59-83,64-21-93-33-129
211,4935778155,Dire,31-34-129-119-93,22-41-97-104-37
212,4931959335,Dire,47-71-8-2-84,54-110-106-27-129
213,4888732113,Dire,86-96-111-114-46,106-33-75-95-29
214,4938545972,Radiant,54-84-52-39-121,79-46-63-19-28
215,4895004631,Radiant,27-53-106-49-38,66-13-47-121-42
216,4890527821,Dire,79-43-96-121-8,66-42-65-106-107
217,4898299070,Radiant,93-106-79-110-2,114-27-129-54-25
218,4925305528,Dire,57-29-27-11-18,37-52-7-67-25
219,4938313283,Dire,19-30-52-121-36,64-106-129-33-10
220,4929106427,Radiant,113-70-86-16-33,74-14-31-129-8
221,4924157217,Radiant,37-45-106-99-88,76-96-8-79-30
222,4922807729,Dire,54-33-58-112-25,121-18-16-27-61
223,4910224101,Radiant,8-106-86-121-38,53-57-12-52-2
224,4910331712,Dire,10-22-99-86-121,7-29-113-37-8
225,4889610539,Dire,76-10-79-64-38,71-25-53-111-18
226,4926927220,Radiant,71-2-8-91-106,93-26-47-129-121
227,4917690235,Dire,76-5-16-3-52,42-17-81-25-66
228,4927514496,Dire,79-74-104-107-8,10-110-15-96-27
229,4887421702,Dire,74-109-16-107-87,70-50-85-46-27
230,4909827807,Dire,76-86-3-96-43,121-119-23-19-8
231,4910016397,Dire,89-33-39-5-29,112-25-98-42-52
232,4894018484,Dire,103-121-45-42-69,3-29-91-76-72
233,4932123052,Radiant,5-86-23-8-38,75-44-19-21-59
234,4936637701,Dire,68-74-79-7-54,66-86-16-109-106
