hero,opponent,hero_wins,games_played,win_rate
20,88,12,28,0.429
20,89,12,22,0.545
20,90,18,38,0.474
20,91,13,31,0.419
20,92,2,5,0.4
20,93,25,60,0.417
20,94,3,8,0.375
20,95,17,41,0.415
20,96,27,54,0.5
20,97,23,47,0.489
20,98,23,37,0.622
20,99,14,23,0.609
20,100,25,47,0.532
20,101,24,40,0.6
20,102,27,48,0.562
20,103,16,32,0.5
20,104,42,66,0.636
20,105,2,4,0.5
20,106,47,90,0.522
20,107,11,27,0.407
20,108,14,24,0.583
20,109,22,35,0.629
20,110,21,41,0.512
20,111,22,33,0.667
20,112,40,78,0.513
20,113,5,8,0.625
20,114,12,23,0.522
20,119,2,11,0.182
20,120,35,61,0.574
20,121,48,73,0.658
20,126,22,41,0.537
20,128,9,25,0.36
20,129,23,46,0.5
21,1,6,7,0.857
21,2,12,28,0.429
21,3,10,21,0.476
21,4,8,16,0.5
21,5,9,31,0.29
21,6,10,17,0.588
21,7,21,43,0.488
21,8,17,37,0.459
21,9,22,38,0.579
21,10,12,26,0.462
21,11,12,29,0.414
21,12,6,17,0.353
21,13,22,47,0.468
21,14,7,16,0.438
21,15,19,32,0.594
21,16,24,43,0.558
21,17,24,46,0.522
21,18,18,34,0.529
21,19,30,66,0.455
21,20,9,21,0.429
21,22,9,19,0.474
21,23,25,44,0.568
21,25,39,65,0.6
21,26,10,20,0.5
21,27,16,28,0.571
21,28,12,23,0.522
21,29,10,26,0.385
21,30,20,27,0.741
21,31,24,54,0.444
21,32,7,15,0.467
21,33,4,9,0.444
21,34,5,7,0.714
21,35,5,6,0.833
21,36,11,18,0.611
21,37,11,20,0.55
21,38,8,27,0.296
21,39,18,40,0.45
21,40,8,16,0.5
21,41,17,39,0.436
21,42,17,31,0.548
21,43,17,25,0.68
21,44,8,13,0.615
21,45,9,23,0.391
21,46,12,28,0.429
21,47,13,25,0.52
21,48,7,13,0.538
21,49,15,31,0.484
21,50,11,26,0.423
21,51,16,26,0.615
21,52,22,53,0.415
21,53,11,30,0.367
21,54,23,47,0.489
21,55,1,8,0.125
21,56,2,5,0.4
21,57,18,27,0.667
21,58,13,33,0.394
21,59,7,13,0.538
21,60,10,21,0.476
21,61,3,7,0.429
21,62,1,7,0.143
21,63,6,13,0.462
21,64,14,31,0.452
21,65,14,27,0.519
21,66,13,18,0.722
21,67,8,13,0.615
21,68,24,38,0.632
21,69,7,15,0.467
21,70,15,30,0.5
21,71,10,27,0.37
21,72,18,42,0.429
21,73,8,13,0.615
21,74,23,44,0.523
21,75,5,11,0.455
21,76,17,27,0.63
21,77,5,14,0.357
21,78,2,6,0.333
21,79,10,34,0.294
21,80,5,8,0.625
21,81,3,8,0.375
21,82,2,7,0.286
21,83,15,29,0.517
21,84,42,67,0.627
21,85,11,27,0.407
21,86,42,89,0.472
21,87,14,33,0.424
21,88,11,26,0.423
21,89,8,10,0.8
21,90,16,29,0.552
21,91,6,18,0.333
21,92,1,5,0.2
21,93,24,48,0.5
21,94,3,7,0.429
21,95,19,38,0.5
21,96,24,42,0.571
21,97,6,20,0.3
21,98,8,14,0.571
21,99,8,13,0.615
21,100,10,29,0.345
21,101,12,24,0.5
21,102,14,29,0.483
21,103,8,16,0.5
21,104,33,63,0.524
21,105,0,2,0.0
21,106,27,58,0.466
21,107,12,22,0.545
21,108,5,9,0.556
21,109,1,2,0.5
21,110,15,30,0.5
21,111,22,43,0.512
