match_id,victor_team,radiant_team,dire_team
5414472467,Radiant,121-42-106-126-7,114-100-87-13-41
5415628695,Radiant,38-68-61-63-106,121-126-86-74-4
5398127381,Dire,109-106-33-121-51,111-1-23-104-9
5442316435,Radiant,64-67-120-95-79,110-53-104-3-41
5435942492,Radiant,38-45-6-121-15,72-49-69-53-100
5406042154,Dire,96-21-42-110-83,48-85-63-79-17
5414467527,Dire,53-49-107-10-79,42-114-128-39-66
5429691470,Dire,104-20-39-107-4,95-49-120-79-35
5415251583,Dire,110-13-129-111-109,63-106-121-93-38
5428893574,Radiant,96-79-72-106-91,101-104-111-23-12
5412499782,Radiant,39-88-109-33-53,25-16-43-12-90
5404861675,Radiant,1-102-22-87-51,4-109-129-110-84
5395804309,Dire,31-72-79-62-120,32-126-87-7-99
5425928359,Dire,50-109-52-90-120,45-86-112-95-96
5415025553,Radiant,50-64-8-129-31,23-47-87-121-104
5437567413,Radiant,88-17-86-33-89,6-21-52-121-107
5395585165,Dire,46-10-110-120-3,121-39-129-86-1
5414340089,Dire,46-128-104-42-66,49-56-7-12-68
5427058492,Radiant,32-5-99-126-91,68-53-98-86-63
5408931245,Radiant,84-93-101-25-96,29-8-86-102-11
5420888674,Dire,104-70-3-74-88,8-84-11-52-38
5432442394,Radiant,3-7-53-67-49,121-33-126-44-120
5447811671,Dire,121-129-114-106-110,27-69-54-23-84
5436221702,Dire,120-33-67-31-106,111-114-126-20-100
5427509377,Radiant,106-73-111-107-104,86-38-77-39-110
5417027615,Radiant,106-110-46-129-90,60-59-53-119-121
5403201015,Dire,20-66-17-100-46,12-126-33-120-68
5403146588,Radiant,29-101-3-95-106,17-111-126-93-86
5412917255,Radiant,58-52-44-120-30,12-85-25-121-43
5434578038,Dire,66-120-49-77-53,121-43-110-51-41
5401884547,Dire,109-23-120-128-111,12-13-39-68-79
5418366248,Dire,95-120-49-86-121,112-77-107-15-53
5401813467,Radiant,7-106-65-112-109,88-66-10-46-102
5443759780,Dire,41-99-7-39-26,70-49-51-40-66
5434650453,Dire,121-86-44-39-108,100-63-23-93-66
5423838151,Dire,46-102-38-86-15,3-21-72-7-51
5416421218,Radiant,32-102-10-98-79,17-84-80-114-58
5407208000,Dire,86-99-90-120-76,3-10-25-33-100
5428433728,Dire,9-108-87-106-72,66-114-102-7-48
5439616861,Radiant,51-10-86-17-79,103-38-48-20-126
5398554891,Radiant,1-13-86-100-63,64-49-39-83-94
5406046669,Radiant,58-52-126-79-99,112-43-100-109-13
5430235674,Dire,106-120-29-72-68,13-15-86-19-107
5425526739,Dire,13-25-100-42-68,45-112-8-86-96
5421989827,Dire,3-40-98-48-7,51-70-121-120-39
5442025796,Radiant,94-39-20-88-65,66-77-23-120-7
5432712608,Radiant,51-91-86-39-72,77-15-31-129-30
5398074041,Radiant,109-9-129-126-79,38-121-106-86-12
5427404828,Dire,111-103-29-95-39,19-43-38-20-63
5409084126,Radiant,86-38-49-17-110,33-35-126-100-93
5415335673,Radiant,19-96-112-21-12,42-23-51-31-9
5412187377,Radiant,79-100-114-11-2,97-36-99-126-68
5425657150,Dire,114-76-129-31-25,42-52-104-66-13
5442295638,Dire,12-3-43-79-96,20-13-94-35-28
5403115875,Dire,53-43-7-10-68,129-109-86-13-51
5436734821,Radiant,38-94-9-20-70,12-103-126-5-49
5412838623,Radiant,112-59-7-126-32,44-63-121-96-17
5425735200,Radiant,90-10-38-120-21,51-95-45-25-111
5425756629,Dire,36-45-102-8-19,6-46-20-33-64
5427017231,Dire,84-70-86-96-49,5-95-9-104-23
5412447375,Dire,83-43-129-6-86,7-35-25-41-68
5419345082,Dire,17-19-90-42-2,68-7-63-43-53
5409069967,Radiant,129-38-110-94-20,113-106-111-27-43
5436448867,Radiant,66-25-88-50-53,94-13-100-78-20
5425814992,Dire,86-120-10-39-110,90-106-38-101-17
5425819736,Radiant,106-120-1-119-111,39-32-90-19-43
5427257751,Dire,102-10-43-126-100,40-38-86-31-42
5410122373,Radiant,32-39-96-119-111,20-49-86-129-46
5415081424,Radiant,90-13-86-38-77,39-7-121-65-106
5395830977,Dire,46-38-99-3-100,53-106-7-12-79
5439237372,Radiant,79-106-19-67-28,90-17-129-35-73
5412518400,Dire,39-9-126-44-103,7-49-43-111-12
5437608374,Dire,121-106-43-110-96,104-126-84-128-10
5412579589,Dire,3-43-46-53-7,51-86-109-106-90
5422429631,Dire,49-105-53-129-15,11-12-120-86-62
