match_id,victor_team,radiant_team,dire_team
5423849954,Radiant,41-101-126-15-68,87-88-49-120-63
5401506974,Radiant,93-86-129-85-13,104-126-35-12-84
5396780792,Dire,52-84-73-86-129,32-39-31-83-38
5415779293,Dire,114-77-100-96-30,111-53-23-86-108
5416856103,Radiant,93-65-121-107-77,102-49-110-52-16
5415835308,Dire,65-39-44-2-86,53-64-111-96-4
5427433886,Dire,74-114-28-5-2,65-17-84-51-95
5432608578,Radiant,52-83-53-46-51,10-100-66-45-88
5405314026,Radiant,70-126-7-56-31,106-40-43-111-51
5427215952,Radiant,121-109-13-45-49,106-53-31-7-93
5405199845,Radiant,93-112-74-96-110,109-50-120-49-53
5425471123,Radiant,49-79-86-108-113,120-114-106-7-20
5397835706,Dire,104-49-10-86-68,93-120-87-106-121
5420245865,Radiant,86-43-126-42-121,56-111-10-13-53
5403747327,Radiant,68-74-77-86-53,27-46-99-112-10
5414119415,Dire,10-43-78-7-90,25-110-106-79-77
5408867396,Dire,45-7-64-89-19,26-106-107-88-55
5402070656,Dire,121-69-45-42-86,70-66-119-13-46
5424467063,Radiant,64-17-70-49-110,51-39-98-79-63
5401921679,Radiant,58-27-1-71-47,84-79-38-48-11
5415121143,Dire,104-1-63-3-36,87-17-110-67-120
5427330268,Radiant,50-58-77-48-38,64-106-86-99-8
5441565391,Dire,112-128-95-28-13,126-53-68-71-86
5401754549,Dire,112-23-49-15-83,104-89-87-7-39
5393507479,Dire,106-89-51-104-121,17-8-38-9-3
5440225017,Radiant,32-7-36-49-87,41-68-23-39-110
5426921865,Radiant,86-31-32-106-96,90-129-79-126-109
5438305161,Radiant,64-52-51-107-53,74-86-126-84-41
5407979660,Dire,50-13-32-83-96,98-31-41-126-86
5414401015,Dire,12-23-40-83-87,89-70-38-27-64
5422907102,Radiant,20-36-48-38-7,106-39-108-58-86
5414629079,Dire,20-114-54-120-86,49-126-93-110-3
5412338358,Radiant,30-39-72-33-126,119-42-129-49-58
5404104229,Dire,23-110-111-96-109,121-49-56-129-63
5405495624,Radiant,26-106-90-98-46,55-43-86-104-49
5404120523,Dire,36-68-7-60-106,52-121-70-53-62
5403543375,Radiant,52-114-38-64-27,46-53-89-29-120
5446954733,Dire,30-113-43-38-7,67-39-49-110-112
5417038516,Dire,30-44-7-39-43,100-46-38-86-4
5436485935,Radiant,39-111-51-12-106,44-86-121-97-96
5424196645,Dire,64-70-119-100-77,93-110-129-126-31
5441503859,Radiant,64-38-65-17-95,23-70-83-102-119
5446350960,Dire,121-77-31-36-16,48-28-30-86-39
5424170506,Radiant,23-104-3-101-32,45-79-108-83-77
5441262644,Dire,52-22-79-121-36,106-77-7-40-45
5424106476,Dire,77-30-39-35-49,112-52-12-98-110
5405461984,Dire,72-126-111-19-53,83-101-44-106-121
5425529405,Radiant,50-16-49-36-119,10-51-120-86-56
5405208424,Radiant,90-100-49-106-56,8-114-13-51-121
5407412594,Radiant,21-112-63-126-19,97-13-95-23-110
5424708154,Dire,53-62-87-98-114,121-49-63-129-21
5422001213,Radiant,95-106-38-88-90,39-104-100-31-53
5414265204,Radiant,104-40-68-54-49,93-106-7-121-65
5424138096,Radiant,39-85-10-46-19,90-13-38-52-95
5403604688,Radiant,86-102-12-58-13,52-76-26-64-41
5401600913,Radiant,106-104-35-90-98,65-39-85-100-93
5427271472,Dire,104-121-114-39-101,38-106-58-86-32
5414738217,Radiant,114-86-65-120-79,52-98-5-7-8
5445514709,Radiant,13-10-43-5-51,53-94-52-84-20
5409009304,Dire,10-101-52-84-104,51-110-80-106-3
5417751357,Dire,9-72-70-2-111,90-106-53-23-100
5439951035,Radiant,8-39-5-38-86,77-13-110-15-112
5418223522,Radiant,128-74-53-79-8,39-86-2-84-44
5418093512,Radiant,46-65-88-27-53,101-48-52-84-38
5440672858,Dire,56-19-3-21-53,106-46-38-58-121
5394117911,Dire,121-76-65-93-2,99-83-50-36-102
5401427405,Dire,95-58-7-106-53,17-86-67-121-96
5448062880,Radiant,90-45-106-120-86,101-28-8-87-11
5437934920,Radiant,129-120-121-106-40,11-19-128-21-80
5393890087,Radiant,23-50-120-12-87,52-129-3-95-25
5414706257,Radiant,106-44-38-121-100,120-8-105-19-53
5406118899,Radiant,53-111-93-86-23,104-12-64-121-126
5406054175,Radiant,70-111-43-86-96,63-39-108-100-121
5422728338,Dire,84-13-9-38-52,107-39-93-20-108
5440672747,Dire,27-7-9-58-70,3-110-106-129-44
5407939866,Dire,15-5-110-84-47,43-87-60-54-88
5408088409,Dire,30-97-32-62-39,108-86-12-38-3
5440233563,Dire,8-46-9-84-21,106-53-107-126-17
5419466896,Dire,20-53-6-25-100,16-23-64-95-128
5398181452,Radiant,31-7-40-106-1,8-87-129-17-121
5398141910,Dire,106-119-43-31-12,52-114-45-121-111
5406913516,Radiant,70-46-110-51-3,9-96-89-121-40
5418192382,Radiant,7-38-77-10-66,95-126-65-103-19
5445575250,Dire,41-39-110-79-51,33-95-10-121-45
5427381751,Radiant,53-40-74-83-51,70-1-88-21-45
5397657417,Dire,42-16-17-3-121,32-53-39-31-104
5424380877,Dire,83-106-86-89-102,93-126-3-128-100
5417820837,Radiant,9-29-95-52-111,44-100-104-66-25
5439762237,Dire,70-100-68-106-33,95-19-39-121-104
5409195427,Radiant,93-129-100-23-87,106-46-121-7-98
5396287753,Radiant,17-79-5-129-89,121-62-53-108-77
5417672313,Radiant,33-52-49-126-22,12-45-30-105-38
5420621352,Dire,106-119-38-90-72,86-64-120-114-10
5443482346,Dire,120-70-86-39-37,101-90-38-11-54
5416390145,Dire,104-7-54-68-36,106-65-77-11-121
5443974212,Radiant,128-78-112-25-80,16-72-106-90-110
5429205639,Radiant,79-39-120-83-56,12-49-129-3-86
5446610442,Dire,64-98-119-12-129,63-23-38-58-120
5404636554,Radiant,31-42-110-13-23,121-107-108-46-106
5403328972,Dire,120-85-27-43-19,35-126-71-25-68
5404630078,Radiant,25-121-12-99-13,36-80-126-53-111
5423440811,Radiant,90-126-41-56-129,121-67-7-65-39
5427539550,Radiant,70-49-68-7-39,106-79-23-55-51
5404125419,Radiant,114-109-120-90-35,44-87-74-128-96
5412483487,Dire,90-106-100-56-47,39-44-31-51-96
5447564856,Dire,102-43-83-58-56,11-38-112-86-18
5414985094,Dire,8-2-121-35-76,32-38-17-64-26
5436148148,Radiant,77-49-68-7-50,72-38-51-23-79
5422377780,Dire,109-104-111-107-13,86-38-74-84-10
5414639575,Dire,40-15-33-68-7,77-25-96-86-87
5443383385,Radiant,49-106-100-112-39,104-121-31-114-23
5407716607,Dire,32-108-120-23-121,77-129-28-56-79
5433309024,Dire,7-53-5-66-48,64-79-114-129-67
5407595645,Dire,128-64-101-44-28,10-74-121-86-51
5417517980,Radiant,111-45-72-13-16,106-1-79-108-9
5401601613,Radiant,109-53-13-100-45,6-121-104-58-106
5436046354,Dire,11-110-114-83-2,106-65-7-121-95
5396038202,Radiant,58-99-43-51-42,4-19-53-36-121
5425714515,Dire,39-51-87-52-70,12-61-3-7-9
5406355191,Dire,100-120-39-95-121,111-15-77-86-63
5397811592,Radiant,63-72-128-43-84,70-53-110-79-96
5445578461,Radiant,28-17-49-64-121,4-65-53-100-68
5443468155,Dire,77-43-100-111-50,17-83-32-51-86
5436001358,Dire,2-114-13-17-30,52-128-44-7-43
5405878958,Radiant,8-30-41-35-128,54-68-96-40-34
5399489481,Radiant,38-77-40-98-20,90-112-106-72-17
5435070653,Dire,126-62-30-7-49,72-90-98-43-107
5403472012,Dire,23-12-104-111-119,106-100-33-46-53
5443931165,Dire,87-56-100-96-23,65-85-110-129-10
5425545527,Radiant,29-110-8-79-82,96-103-86-111-95
5401688104,Dire,112-96-49-106-68,35-126-45-66-95
5420728327,Dire,70-86-21-51-121,39-31-104-101-32
5425727974,Dire,90-5-78-40-120,66-45-126-11-88
5439847535,Radiant,53-120-3-89-87,121-86-104-65-72
5420320435,Dire,46-66-13-88-109,101-113-38-84-114
5395803327,Radiant,49-106-96-86-121,76-12-51-25-53
5446591849,Dire,20-19-10-105-126,72-46-43-107-30
5436520396,Dire,128-121-114-10-2,49-40-39-79-86
5427956376,Radiant,121-106-35-129-41,10-114-98-111-7
5395843399,Radiant,75-72-13-126-86,57-17-27-45-54
5415112417,Dire,36-120-111-95-88,90-46-51-33-106
5427486735,Dire,74-51-22-129-8,45-46-86-121-53
5404993802,Dire,86-87-2-22-77,114-39-129-5-25
5431454062,Radiant,111-67-107-11-43,104-79-121-17-95
5415897277,Dire,120-93-29-17-31,53-34-13-41-103
5415844298,Radiant,96-5-17-8-101,45-1-111-86-49
5428613070,Dire,69-5-12-114-121,85-93-52-16-106
5406653543,Dire,90-13-72-2-110,8-35-128-100-52
5416572241,Dire,121-95-63-119-49,77-104-30-53-110
5428733224,Dire,87-108-17-6-3,31-126-7-57-93
5429040920,Radiant,112-7-128-32-114,110-106-57-51-95
5446212687,Dire,75-98-23-19-67,3-95-110-7-53
5447992646,Dire,88-42-68-25-120,3-39-98-32-13
5436593074,Dire,49-126-104-43-111,59-40-63-31-38
5407191179,Dire,41-100-17-50-79,70-35-96-76-84
5398005386,Radiant,6-22-58-88-33,109-106-50-120-121
5437685481,Dire,84-11-101-96-93,79-46-98-15-107
5417952243,Dire,120-35-79-41-30,29-95-52-22-84
5418249158,Radiant,13-104-121-77-79,95-101-3-36-106
5436052954,Dire,49-114-3-9-38,120-104-48-126-110
5433264994,Radiant,59-26-121-129-41,42-46-38-65-86
5445784493,Radiant,70-121-77-104-101,108-67-79-66-29
5427306689,Radiant,66-48-74-97-86,112-61-106-30-78
5436677986,Radiant,62-77-103-65-114,102-106-73-56-120
5445690795,Dire,30-86-84-48-126,56-120-64-11-1
5403490468,Dire,39-19-121-129-12,90-10-2-86-11
5412929609,Radiant,36-111-106-88-10,93-102-7-90-17
5418153958,Dire,70-46-60-121-87,96-77-17-86-75
5393872642,Dire,9-7-1-95-83,84-45-74-65-53
5425618873,Radiant,11-79-36-78-9,104-128-52-32-30
5430917951,Dire,3-119-72-7-107,30-120-70-121-39
5416141027,Dire,46-50-120-49-31,63-45-2-121-86
5432199121,Dire,13-106-107-55-90,3-97-30-7-63
5446579683,Radiant,110-12-23-3-2,20-80-17-96-79
5411211616,Dire,72-11-53-78-51,10-58-106-7-65
5399674369,Dire,129-77-10-9-31,106-49-46-75-87
5446369426,Dire,29-106-8-128-31,93-10-102-110-83
5425686026,Radiant,39-85-52-88-95,76-78-30-60-90
5397656459,Radiant,49-70-3-51-9,12-104-121-22-17
5424184042,Radiant,39-45-121-107-53,86-109-38-52-84
5400982797,Dire,101-79-99-104-19,68-8-60-121-17
5443660022,Dire,17-79-52-84-77,53-66-9-95-23
5423255671,Dire,58-106-46-99-90,53-11-72-86-36
5403178755,Dire,72-91-110-49-129,97-41-87-16-126
5422263094,Dire,70-46-98-19-121,50-9-11-100-104
5428921197,Radiant,114-100-106-110-104,86-53-49-39-111
5420830159,Dire,48-62-3-120-99,27-56-28-121-53
5442034264,Radiant,7-41-111-96-22,129-46-86-32-112
5441962078,Radiant,79-17-32-43-51,58-39-63-7-44
5441885616,Radiant,96-88-10-77-65,49-84-68-102-98
5406131499,Radiant,106-46-120-27-121,86-8-74-126-3
5432530568,Dire,48-33-121-49-51,120-13-89-106-110
5420155220,Dire,52-71-83-56-45,90-10-126-9-39
5427329065,Dire,35-107-38-95-19,45-126-129-100-12
5420016217,Radiant,32-22-121-65-51,31-129-109-13-111
5407009984,Dire,23-100-121-70-56,41-19-13-98-90
5419871498,Dire,90-86-93-104-43,31-129-11-120-54
5419535858,Radiant,16-49-30-90-1,68-38-67-106-64
5432795886,Radiant,31-106-49-67-7,20-11-38-16-32
5432806886,Dire,7-70-90-99-53,12-98-83-119-126
5407764028,Radiant,114-110-121-129-41,66-82-38-8-120
5417748137,Dire,86-15-68-96-17,39-29-114-88-90
5417398562,Radiant,53-106-100-70-104,110-77-107-58-67
5417195301,Radiant,45-108-106-119-12,31-8-51-83-11
5417119222,Radiant,90-106-114-62-128,32-53-49-58-121
5409956483,Radiant,20-17-67-129-110,121-46-86-96-63
5410148202,Radiant,100-39-43-86-4,107-120-25-68-106
5439143330,Radiant,51-49-35-33-17,126-128-79-42-114
5439071228,Dire,111-12-56-49-9,38-52-65-7-114
5416524195,Dire,102-106-42-31-90,41-43-28-83-79
5428575215,Dire,93-96-17-37-103,15-63-28-21-27
5434785580,Radiant,121-41-65-19-88,93-111-23-63-120
5438231191,Dire,77-58-10-120-45,86-96-79-84-95
5437955236,Dire,111-70-43-71-10,13-6-65-7-98
5435985459,Radiant,106-87-51-58-49,45-110-32-7-38
5415262098,Dire,58-79-25-129-10,121-74-38-83-8
5412506235,Dire,79-49-104-72-101,106-36-7-12-90
5441937631,Radiant,7-13-23-66-67,9-36-99-51-112
5397727253,Dire,87-95-86-98-11,93-104-106-121-110
5401565051,Radiant,12-101-49-38-90,8-13-58-21-93
5439559387,Radiant,41-23-37-86-49,120-106-13-98-30
5430900169,Dire,67-22-104-66-51,58-49-42-25-64
5428845340,Dire,32-10-5-63-129,110-126-13-109-25
5424549651,Dire,111-43-119-16-95,77-90-106-100-29
5436335024,Radiant,80-38-33-69-111,49-106-90-83-8
5405374894,Radiant,83-93-16-126-79,10-106-104-7-31
5422128028,Radiant,114-46-104-121-86,67-23-106-11-102
5443658143,Radiant,120-7-36-73-68,49-40-53-43-100
5446328540,Dire,50-128-81-28-106,39-79-2-74-87
5425735276,Radiant,71-13-46-102-93,114-74-87-84-38
5406640814,Radiant,90-65-107-49-72,112-77-43-128-2
5410712590,Radiant,50-23-88-12-3,106-49-92-121-7
5410983889,Dire,79-46-38-27-8,11-53-84-86-95
5412668723,Radiant,46-83-119-38-95,53-49-114-27-5
5416805624,Dire,93-85-19-88-39,17-86-111-38-49
5421216736,Dire,129-106-110-39-31,92-104-20-62-84
5403639282,Dire,106-87-103-110-126,66-82-121-62-8
5394086469,Dire,32-120-121-50-104,7-17-83-65-53
5443205494,Radiant,28-63-66-77-84,49-53-129-121-7
5424449072,Dire,49-86-95-111-47,126-121-70-120-7
5439881712,Dire,83-88-36-31-8,90-106-99-86-77
5422324814,Dire,53-121-101-45-129,84-88-11-77-80
5405377771,Radiant,73-106-90-19-53,83-126-110-74-109
5420350369,Radiant,39-109-36-111-9,70-17-56-5-100
5437376750,Dire,121-8-49-53-9,106-99-62-90-39
5414803620,Radiant,10-120-102-126-45,84-52-98-86-77
5406639878,Radiant,86-8-99-43-128,126-7-65-70-30
