match_id,victor_team,radiant_team,dire_team
5168474288,Dire,4-47-100-104-31,90-106-61-86-102
5156898023,Radiant,46-63-102-52-103,93-100-31-53-65
5155803532,Radiant,15-103-8-96-3,92-102-9-23-86
5140318999,Radiant,114-19-84-9-46,75-27-69-6-15
5149227579,Radiant,71-26-59-111-12,47-20-28-84-63
5141136727,Dire,58-102-19-4-86,50-63-47-87-98
5147010380,Radiant,15-84-60-72-102,120-26-88-70-22
5161571919,Dire,106-80-16-86-112,60-19-90-25-83
5161125690,Dire,4-100-59-13-31,111-80-46-86-33
5142888521,Radiant,66-36-15-13-19,97-53-99-71-57
5149003622,Dire,54-21-75-3-97,70-47-86-100-40
5142337392,Dire,99-100-11-53-5,16-106-97-13-27
5168427749,Radiant,103-104-87-95-80,27-25-72-84-69
5150156790,Dire,2-23-18-101-68,10-45-121-65-104
5152600349,Radiant,51-52-90-120-54,88-93-79-18-19
5176274797,Dire,75-120-19-3-45,86-54-57-59-121
5168375407,Radiant,87-106-15-78-13,17-26-19-84-52
5147554881,Radiant,13-11-16-85-6,106-41-25-104-121
5159705762,Radiant,52-19-112-46-93,108-12-31-2-5
5141870900,Radiant,103-6-86-69-38,19-72-101-41-13
5140074679,Dire,5-73-15-65-96,63-106-16-52-121
5156209227,Radiant,25-1-13-108-86,11-75-52-69-93
5165159535,Dire,20-11-50-6-108,87-129-83-76-12
5165756331,Radiant,100-109-104-5-106,51-11-13-6-85
5153857022,Dire,13-69-103-4-39,7-15-104-31-42
5146862871,Dire,84-72-93-69-96,30-47-16-70-101
5154804621,Radiant,9-72-69-20-6,13-11-112-38-106
5158323667,Dire,83-93-74-64-40,20-17-6-7-53
5149048666,Dire,50-20-28-15-101,13-23-103-97-106
5151416960,Dire,104-114-84-74-100,87-106-102-88-73
5146662059,Dire,83-70-11-31-51,19-20-21-69-78
5146440467,Dire,86-63-39-66-21,87-91-19-97-72
5148883636,Radiant,90-22-60-96-86,106-101-104-5-99
5174762990,Dire,71-52-54-97-91,46-90-21-12-100
5141936987,Dire,60-54-25-13-84,5-72-18-20-97
5156102052,Radiant,12-102-64-100-75,72-87-23-121-69
5171592300,Radiant,76-105-28-93-83,52-23-120-4-50
5142581127,Radiant,68-20-17-112-96,10-7-31-100-74
5148880844,Dire,50-13-103-95-97,104-6-101-20-46
5149993832,Radiant,69-89-11-85-13,26-103-52-65-19
5160224317,Radiant,121-39-25-93-57,51-83-69-52-10
5155428800,Dire,10-5-23-74-51,101-13-16-109-84
5154415700,Dire,90-9-104-97-19,52-51-98-47-84
5143213484,Radiant,13-95-101-69-37,107-11-91-10-18
5147590451,Dire,23-85-93-13-79,101-41-104-74-3
5171301233,Dire,41-102-64-83-86,78-3-74-51-95
5148750848,Radiant,84-27-77-40-13,53-6-39-79-107
5143692186,Dire,121-46-104-87-15,74-16-66-86-70
5163886356,Dire,129-10-15-25-102,19-60-110-20-76
5146825849,Radiant,84-47-63-22-19,90-99-69-65-13
5167560428,Dire,31-15-16-6-19,83-46-87-96-77
5145015439,Radiant,77-27-38-64-43,120-21-52-80-51
5139823564,Radiant,88-20-46-63-13,112-40-69-106-31
5159757983,Dire,31-11-93-16-119,112-46-96-79-106
5148299565,Radiant,81-11-31-38-86,19-5-4-101-104
5150178478,Radiant,109-100-66-86-65,112-63-61-69-121
5173128914,Radiant,52-28-72-110-20,87-89-86-69-13
5147399200,Radiant,93-13-11-38-85,112-103-74-83-68
5140440454,Radiant,111-97-13-104-70,87-41-9-75-98
5159464109,Radiant,79-93-47-96-31,4-20-103-78-11
5165240241,Dire,40-57-54-32-112,19-28-15-25-31
5177063769,Dire,83-52-11-79-129,31-107-98-32-17
5139217170,Dire,15-106-114-27-91,68-20-23-63-99
5165393419,Dire,112-11-53-93-19,64-89-46-65-69
5178511962,Radiant,86-49-53-7-41,13-25-64-106-12
5163328989,Radiant,19-15-51-96-70,98-31-54-16-87
5158857379,Radiant,31-4-101-57-22,41-83-76-64-65
5169195800,Dire,7-31-121-34-70,57-112-45-93-86
5163119257,Dire,95-19-47-57-103,20-100-21-98-10
5171241882,Dire,112-69-87-25-70,20-15-6-19-102
5162670725,Radiant,97-87-19-39-91,7-112-98-15-13
5150083805,Radiant,100-43-52-40-13,121-50-8-53-49
5165860175,Dire,68-120-41-98-87,86-19-36-52-30
5165916066,Radiant,96-84-86-93-47,100-65-63-98-20
5144695099,Dire,102-54-21-84-26,39-19-104-64-91
5166121317,Dire,63-97-16-13-112,60-11-40-86-20
5144947185,Dire,96-97-8-30-13,53-80-19-27-72
5161606733,Radiant,98-96-86-79-72,75-6-23-100-110
5151779519,Radiant,63-15-102-84-86,40-78-80-76-87
5139708786,Radiant,72-65-25-7-46,66-101-74-38-54
5168654529,Radiant,88-45-9-23-15,70-13-63-64-11
5148827076,Dire,74-99-86-57-87,106-90-60-52-83
5156131714,Radiant,72-106-83-51-112,38-20-46-100-6
5167270794,Radiant,96-69-4-87-46,20-104-100-65-6
5171532580,Radiant,100-19-28-93-31,6-21-25-16-87
5141965327,Radiant,101-38-20-23-49,68-98-104-41-9
5171716710,Dire,86-80-63-85-98,83-47-70-101-90
5179104922,Radiant,102-97-44-9-98,63-45-86-69-90
5142197374,Dire,31-19-109-74-38,20-40-80-72-120
5167759841,Dire,83-46-98-70-112,68-76-19-96-91
5150056467,Dire,112-20-46-69-77,19-47-101-100-111
5147770952,Dire,47-93-13-64-23,20-6-50-56-103
5139140391,Radiant,86-57-20-23-54,19-76-104-101-84
5172763223,Dire,91-48-57-86-45,68-52-69-100-3
5146243234,Radiant,104-17-85-6-25,13-72-4-53-96
5154554172,Dire,69-109-47-101-79,106-87-46-50-120
5175056400,Dire,95-19-112-53-57,69-86-15-65-47
5175148181,Dire,69-15-97-40-20,13-54-47-19-28
5144651830,Radiant,85-52-46-50-84,72-114-112-5-19
5149089968,Dire,46-47-91-4-100,78-83-109-13-74
5141929194,Dire,77-46-5-19-13,31-41-106-25-57
5158598981,Dire,84-47-69-73-86,53-6-96-112-10
5157602961,Dire,87-86-46-16-89,112-11-12-38-13
5140119117,Radiant,5-89-74-25-96,10-106-69-100-121
5171165289,Radiant,65-6-46-103-36,93-22-98-112-87
5159882846,Radiant,13-93-40-19-112,20-46-86-96-72
5165009434,Radiant,19-110-91-27-12,59-13-11-20-98
5150616634,Radiant,5-6-106-100-104,40-53-19-46-70
5158046403,Dire,89-46-45-3-69,87-97-78-86-42
5146588822,Dire,12-87-71-13-16,72-96-58-84-11
5154060450,Radiant,75-91-69-17-19,76-93-30-98-100
5150557679,Radiant,93-16-47-13-83,102-31-70-84-43
