match_id,victor_team,radiant_team,dire_team
5382794097,Radiant,79-32-11-87-96,42-66-19-121-129
5379569918,Dire,72-86-85-22-2,53-31-23-7-10
5360970018,Radiant,79-10-96-106-9,85-42-126-86-129
5346462970,Radiant,126-121-54-51-96,129-109-86-72-85
5339914758,Dire,96-41-79-43-27,50-106-38-120-90
5380690369,Dire,112-126-13-53-72,69-17-79-38-9
5377814804,Radiant,64-65-49-79-12,32-93-38-100-86
5373599471,Radiant,106-86-29-121-77,88-126-6-49-111
5335895805,Radiant,28-50-128-8-46,59-6-64-111-108
5354968280,Radiant,121-106-12-88-98,65-36-49-90-63
5363283804,Dire,10-79-110-100-43,106-120-128-50-11
5354921555,Dire,32-2-25-128-53,8-121-43-111-108
5369524834,Dire,90-126-109-13-108,31-46-96-32-100
5387673377,Dire,121-106-32-38-25,85-109-126-110-2
5337398170,Dire,29-110-39-95-84,15-46-7-120-128
5371095418,Radiant,53-52-112-38-51,45-119-7-93-21
5366368702,Radiant,45-41-25-126-63,128-93-129-85-53
5341392180,Dire,79-42-107-120-9,106-84-86-13-102
5383857181,Dire,25-41-102-101-31,89-126-87-120-66
5341407478,Dire,96-11-26-98-31,79-77-83-65-129
5347808279,Radiant,102-39-45-8-43,96-10-31-110-95
5375159207,Dire,121-95-100-53-74,73-23-66-104-79
5366155937,Dire,17-88-45-72-96,121-110-126-42-2
5345779013,Dire,128-106-45-7-114,66-86-43-10-78
5355931343,Radiant,90-53-38-100-48,49-43-45-121-56
5375432201,Radiant,87-126-98-67-100,79-76-33-71-95
5333757576,Radiant,12-126-96-43-121,79-23-67-51-55
5366056148,Radiant,90-72-98-53-7,20-49-6-120-79
5377420346,Radiant,121-95-39-108-3,99-20-2-62-13
5345541950,Dire,9-120-129-90-106,17-110-84-96-32
5388384014,Dire,48-86-128-59-2,64-110-120-32-17
5365133908,Dire,98-88-71-52-49,66-9-38-17-32
5333994874,Radiant,68-71-53-11-42,46-64-54-108-85
5341675670,Radiant,109-43-23-112-9,13-42-100-66-68
5344757422,Radiant,121-7-114-98-94,86-43-53-128-129
5348125174,Dire,6-59-9-57-84,102-76-25-49-79
5335067927,Radiant,97-65-108-41-84,53-102-77-43-126
