match_id,victor_team,radiant_team,dire_team
5028126189,Dire,7-46-86-84-10,52-83-23-41-74
5036587186,Dire,45-72-19-102-38,9-16-103-52-99
5036731980,Radiant,52-106-16-23-86,121-102-46-7-36
5036926416,Dire,29-114-8-107-90,33-106-104-79-93
5025426258,Radiant,54-3-23-9-7,49-79-19-21-89
5037886059,Dire,84-19-23-25-12,15-5-60-33-14
5038652251,Radiant,64-25-23-79-10,85-76-65-19-72
5039665311,Dire,37-98-13-97-44,26-49-57-112-73
5020407532,Dire,106-19-1-64-16,51-21-100-82-26
5018255220,Dire,42-52-46-29-64,5-100-93-9-94
5042211498,Radiant,74-104-95-25-84,9-70-3-106-28
5042590596,Dire,8-76-27-129-66,37-99-9-96-46
5042778799,Radiant,95-83-23-25-65,37-62-86-96-46
5044235928,Dire,38-74-31-72-42,52-102-13-68-41
5049907530,Radiant,14-50-72-26-102,108-64-82-112-41
5044595926,Dire,121-61-60-5-106,89-110-108-29-74
5013683449,Dire,27-23-96-111-72,48-43-9-71-103
5012886511,Dire,31-8-121-19-59,39-64-96-41-79
5045179878,Dire,129-31-83-70-56,111-90-60-54-36
5003241100,Radiant,53-121-86-106-46,13-17-79-120-54
5046130963,Dire,79-57-25-86-18,6-106-76-9-83
5009358441,Radiant,103-50-52-60-54,121-72-23-77-86
5046657098,Radiant,18-86-23-29-26,54-27-74-84-99
5046862981,Dire,76-57-86-18-79,25-22-16-5-89
5004904686,Dire,17-52-54-28-121,87-96-95-86-106
5033849278,Radiant,58-104-106-47-120,5-52-99-79-72
5024230393,Dire,79-15-23-71-70,54-76-60-86-84
5035630342,Radiant,112-47-64-41-2,101-1-57-20-106
5044181531,Radiant,84-72-60-9-23,103-96-10-7-25
5035638421,Dire,36-79-96-99-9,102-4-60-121-106
5042874440,Dire,16-76-52-42-79,74-96-35-41-84
5024460867,Radiant,22-84-49-102-72,111-54-25-16-9
5012656136,Dire,17-54-29-26-121,8-46-2-86-68
5013211076,Dire,84-9-106-60-109,86-102-23-42-114
